channel_group_name,state,testing_point,opps,bids,win_rate,sold,binds,quotes,click_to_quote,channel_quote,click_to_channel_quote,q2b,channel_binds,channel_q2b,cpc,avg_bid,win_rate_uplift_state,cpc_uplift_state,win_rate_uplift_channel,cpc_uplift_channel,performance,roe,combined_ratio,win_rate_uplift,cpc_uplift,additional_clicks,expected_bind_change,additional_budget_needed,current_cpb,expected_cpb,cpb_uplift,stat_sig,stat_sig_channel_group,stat_sig_source,recommended_testing_point,segment
Group 100 MCH,OR,-15,110,110,0.11818181818181818,13,6,5,0.045454545454545456,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,47.342307692307685,44.261636363636356,-0.3481724461105905,-0.17256693835359568,-0.0767180504301773,-0.22138831481965215,4.034458504692031,0.5140782008571401,0.7626769657902226,-0.0767180504301773,-0.22138831481965215,-71.64868309260834,-1.9695574509184286,-4354.565000000002,1784.1483333333335,1575.590005977648,-0.11689517259253607,low,low,channel only,-5,MCH
Group 100 MCH,OR,-10,115,115,0.1391304347826087,16,6,5,0.043478260869565216,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,56.09937500000001,47.25008695652174,-0.23263110712684898,-0.019513837086527003,0.0884423553148048,0.004955322122183085,,0,0,0.0884423553148048,0.004955322122183085,-47.87200325071109,-1.2635812668599233,-1846.0669565217395,1784.1483333333335,1870.3631462088188,0.04832267097120207,low,low,channel only,-5,MCH
Group 100 MCH,OR,-5,128,128,0.2109375,27,6,13,0.1015625,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,50.81814814814814,50.53835937500001,0.16341817010309273,-0.11181735831912254,-0.006325863448262356,-0.1294300172288815,,0,0,-0.006325863448262356,-0.1294300172288815,33.62901577102804,1.265419720456653,1461.6892968749962,1784.1483333333335,1674.5872592354915,-0.06140805226275582,low,low,channel only,-5,MCH
Group 100 MCH,OR,0,535,535,0.18130841121495328,97,6,36,0.06728971962616823,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,57.2158762886598,52.56456074766353,,,,,1.1408536112313645,-0.2960612091378912,1.1360164814543143,,,0,0,1069.2817757009343,1784.1483333333335,1962.3619626168227,0.09988722683754196,baseline,baseline,baseline,-5,MCH
Group 100 MCH,OR,5,119,119,0.15126050420168066,18,6,9,0.07563025210084033,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,55.07944444444445,50.957226890756324,-0.16572814692887475,-0.037339843113419084,0.28109200678445034,0.035493019653434335,,0,0,0.28109200678445034,0.035493019653434335,-34.104374460064406,-0.9990478098006674,-1248.8139495798332,1784.1483333333335,1890.8551193414346,0.05980824801082555,low,high,channel only,-5,MCH
Group 100 MCH,OR,10,128,128,0.15625,20,6,6,0.046875,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,63.91950000000001,55.073828125000006,-0.13820876288659797,0.11716369906701704,0.10990904681057487,-0.05999016597237881,3.3018974862222,0.21289380653768314,0.8986962968062409,0.10990904681057487,-0.05999016597237881,-28.441296728971963,-0.7652469604949322,630.8338281250017,1784.1483333333335,2165.4744249781775,0.21373003831604653,low,mid,channel only,-5,MCH
Group 100 MCR,OR,-20,2,2,0,0,0,0,0,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,,5.72,-1,,-0.17315442035581444,,,0,0,-0.17315442035581444,,-49.4959349593496,-1.3671849251139472,,,,,low,mid,channel only,0,MCR
Group 100 MCR,OR,-15,74,74,0.04054054054054054,3,0,0,0,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,11.453333333333333,11.4227027027027,-0.3766891891891892,-0.3010222244825305,0.8763475785050862,0.2993471339644075,,0,0,0.8763475785050862,0.2993471339644075,-18.644583607998243,-0.5003094476956512,-362.1891891891891,,-706.2645177665355,,low,high,channel only,0,MCR
Group 100 MCR,OR,-10,73,73,0,0,0,0,0,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,,12.135753424657535,-1,,-0.32002446727678924,,,0,0,-1,,-49.4959349593496,-1.275312698484026,,,,,mid,high,channel & state,0,MCR
Group 100 MCR,OR,-5,69,69,0.043478260869565216,3,0,2,0.028985507246376812,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,9.723333333333333,13.250579710144926,-0.33152173913043487,-0.40660123073793414,-0.009705444677871143,-0.42546966534364766,,0,0,-0.009705444677871143,-0.42546966534364766,-16.408978437610465,-0.4583904302554723,-393.82449275362313,,-701.837311627725,,low,low,channel only,0,MCR
Group 100 MCR,OR,0,369,369,0.06504065040650407,24,0,8,0.02168021680216802,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,16.38583333333333,12.587560975609765,,,,,,0,0,,,0,0,95.49214092140915,,,,baseline,baseline,baseline,0,MCR
Group 100 MCR,OR,5,81,81,0.04938271604938271,4,0,3,0.037037037037037035,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,18.8975,14.593209876543213,-0.24074074074074087,0.15328281544016706,-0.06871891613788364,-0.3033150777790323,,0,0,-0.06871891613788364,-0.3033150777790323,-11.91568804576935,-0.3407382456981631,-5.367283950617207,,-2084.217797724053,,low,low,channel only,0,MCR
Group 100 MCR,OR,10,80,80,0.0875,7,0,4,0.05,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,22.83142857142857,14.058374999999995,0.34531249999999974,0.3933638959321716,0.06135225685398692,-0.20952057911813723,,0,0,0.06135225685398692,-0.20952057911813723,17.091565040650394,0.4489103580481623,804.7477499999998,,3386.617668191324,,low,low,channel only,0,MCR
Group 100 MCR,OR,20,6,6,0,0,0,0,0,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,,9.386666666666668,-1,,0.2968115099380971,,,0,0,0.2968115099380971,,-49.4959349593496,-0.9578233993365075,,,,,low,high,channel only,0,MCR
Group 100 MCR,OR,30,7,7,0.2857142857142857,2,0,2,0.2857142857142857,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,11.67,8.315714285714286,3.392857142857142,-0.2877994202308904,0.6573205431597925,0.13007157235358544,,0,0,3.392857142857142,-0.2877994202308904,167.93263646922182,3.9342542256914683,1821.8514285714286,,644.9485170535636,,mid,high,channel & state,0,MCR
Group 100 SCH,OR,-20,128,128,0.1953125,25,3,10,0.078125,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,9.4196,7.772031250000002,0.02497329059829059,-0.11669308882815449,-0.1777538053448587,-0.11421037838261014,,0,0,-0.1777538053448587,-0.11421037838261014,5.834232491856682,0.14222422824401487,-635.5473437499995,963.6999999999999,717.8204012227613,-0.25514122525395727,low,high,channel only,30,SCH
